刘园,"1号线,0,是"
瑞景新苑,"1号线,1,是"
佳园里,"1号线,2,是"
本溪路,"1号线,3,是"
勤俭道,"1号线,4,是"
洪湖里,"1号线,5,是"
西站,"1号线,6,是 6号线,13,是"
西北角,"1号线,7,是"
西南角,"1号线,8,是 2号线,6,是"
二纬路,"1号线,9,是"
海光寺,"1号线,10,是"
鞍山道,"1号线,11,是"
营口道,"1号线,12,是 3号线,12,是"
小白楼,"1号线,13,是"
下瓦房,"1号线,14,是 5号线,18,是"
南楼,"1号线,15,是"
土城,"1号线,16,是"
陈塘庄,"1号线,17,是"
复兴门,"1号线,18,是"
华山里,"1号线,19,是"
财经大学,"1号线,20,是"
双林,"1号线,21,是"
李楼,"1号线,22,是"
曹庄,"2号线,0,是"
卞兴,"2号线,1,是"
芥园西道,"2号线,2,是"
咸阳路,"2号线,3,是"
长虹公园,"2号线,4,是 6号线,16,是"
广开四马路,"2号线,5,是"
鼓楼,"2号线,7,是"
东南角,"2号线,8,是"
建国道,"2号线,9,是"
天津站,"2号线,10,是 3号线,15,是 9号线,0,是"
远洋国际中心,"2号线,11,是"
顺驰桥,"2号线,12,是"
靖江路,"2号线,13,是 5号线,14,是"
翠阜新村,"2号线,14,是"
屿东城,"2号线,15,是"
登州路,"2号线,16,是"
国山路,"2号线,17,是"
空港经济区,"2号线,18,是"
滨海国际机场,"2号线,19,是"
南站,"3号线,0,是"
杨伍庄,"3号线,1,是"
学府工业区,"3号线,2,是"
高新区,"3号线,3,是"
大学城,"3号线,4,是"
华苑,"3号线,5,是"
王顶堤,"3号线,6,是"
红旗南路,"3号线,7,是 6号线,21,是"
周邓纪念馆,"3号线,8,是"
天塔,"3号线,9,是"
吴家窑,"3号线,10,是"
西康路,"3号线,11,是"
和平路,"3号线,13,是"
津湾广场,"3号线,14,是"
金狮桥,"3号线,16,是"
中山路,"3号线,17,是"
北站,"3号线,18,是 6号线,8,是"
铁东路,"3号线,19,是"
张兴庄,"3号线,20,是 5号线,7,是"
宜兴埠,"3号线,21,是"
天士力,"3号线,22,是"
华北集团,"3号线,23,是"
丰产河,"3号线,24,是"
小淀,"3号线,25,是"
北辰科技园北,"5号线,0,是"
丹河北道,"5号线,1,是"
北辰道,"5号线,2,是"
职业大学,"5号线,3,是"
淮河道,"5号线,4,是"
辽河北道,"5号线,5,是"
宜兴埠北,"5号线,6,是"
志成路,"5号线,8,是"
思源路,"5号线,9,是"
建昌道,"5号线,10,是"
金钟河大街,"5号线,11,是 6号线,5,是"
月牙河,"5号线,12,是"
幸福公园,"5号线,13,是"
成林道,"5号线,15,是"
津塘路,"5号线,16,是"
直沽,"5号线,17,是 9号线,3,是"
西南楼,"5号线,19,是"
文化中心,"5号线,20,是 6号线,27,是"
天津宾馆,"5号线,21,是 6号线,26,是"
肿瘤医院,"5号线,22,是 6号线,25,是"
体育中心,"5号线,23,是"
凌宾路,"5号线,24,是"
昌凌路,"5号线,25,是"
中医一附院,"5号线,26,是"
南孙庄,"6号线,0,是"
南何庄,"6号线,1,是"
大毕庄,"6号线,2,是"
金钟街,"6号线,3,是"
徐庄子,"6号线,4,是"
民权门,"6号线,6,是"
北宁公园,"6号线,7,是"
新开河,"6号线,9,是"
外院附中,"6号线,10,是"
天泰路,"6号线,11,是"
北竹林,"6号线,12,是"
复兴路,"6号线,14,是"
人民医院,"6号线,15,是"
宜宾道,"6号线,17,是"
鞍山西道,"6号线,18,是"
天拖,"6号线,19,是"
一中心医院,"6号线,20,是"
迎风道,"6号线,22,是"
南翠屏,"6号线,23,是"
水上公园东路,"6号线,24,是"
乐园道,"6号线,28,是"
尖山路,"6号线,29,是"
黑牛城道,"6号线,30,是"
梅江道,"6号线,31,是"
左江道,"6号线,32,是"
梅江公园,"6号线,33,是"
梅江会展中心,"6号线,34,是"
解放南路,"6号线,35,是"
洞庭路,"6号线,36,是"
梅林路,"6号线,37,是"
大王庄,"9号线,1,是"
十一经路,"9号线,2,是"
东兴路,"9号线,4,是"
中山门,"9号线,5,是"
一号桥,"9号线,6,是"
二号桥,"9号线,7,是"
张贵庄,"9号线,8,是"
新立,"9号线,9,是"
东丽开发区,"9号线,10,是"
小东庄,"9号线,11,是"
军粮城,"9号线,12,是"
钢管公司,"9号线,13,是"
胡家园,"9号线,14,是"
塘沽站,"9号线,15,是"
泰达,"9号线,16,是"
市民广场,"9号线,17,是"
太湖路,"9号线,18,是"
会展中心,"9号线,19,是"
东海路,"9号线,20,是"
